Date,total_consumption_kWh,peak_load_kWh,avg_load_kWh,overloaded_hours,critical_hours,low_load_hours,peak_hours,daily_maintenance_pressure,rolling_30d_pressure,rolling_30d_overloaded_hours
2022-10-06,58946151.623,2913911.647,2456089.6509583336,0,0,0,0,12.00564985959824,271.6137166814477,0.0
2022-10-07,56233617.201,2780614.196,2343067.3833749997,0,0,0,0,10.77026099950518,272.7345683704952,0.0
2022-10-08,48419165.425,2321050.055,2017465.2260416665,0,0,3,0,7.9668052454551015,270.85839357867366,0.0
2022-10-09,45829366.67,2323619.906,1909556.9445833333,0,0,7,0,7.32349810862505,268.98074016955906,0.0
2022-10-10,56640227.871,2683739.6890000002,2360009.494625,0,0,0,0,10.85666282682765,273.53788398303266,0.0
2022-10-11,54655314.317999996,2787745.8310000002,2277304.76325,0,0,0,0,10.335005583679719,277.8311250830384,0.0
2022-10-12,53335893.768,2566433.676,2222328.907,0,0,0,0,9.753159058460744,278.32201563580225,0.0
2022-10-13,53810306.682000004,2601441.4899999998,2242096.11175,0,0,0,0,9.949943857478345,278.45314725299386,0.0
2022-10-14,51435000.829,2570841.307,2143125.034541667,0,0,0,0,9.12105495896458,278.177096072488,0.0
2022-10-15,45503641.145,2218080.393,1895985.0477083335,0,0,6,0,7.051698037691308,274.8585826229999,0.0
2022-10-16,48162662.822,2529973.42,2006777.6175833333,0,0,5,0,8.091412718706541,273.42517569862525,0.0
2022-10-17,53934627.839,2727979.468,2247276.1599583332,0,0,0,0,10.068963876931853,276.2649478686993,0.0
2022-10-18,54014281.912,2870298.943,2250595.0796666667,0,0,0,0,10.183816458769002,279.51792568768576,0.0
2022-10-19,53205869.385,2550678.5700000003,2216911.2243749998,0,0,0,0,9.668073232887107,279.96679403011325,0.0
2022-10-20,56994126.726,2901393.06,2374755.2802500003,0,0,0,0,11.31330430372771,282.0551012057899,0.0
2022-10-21,51721350.724,2565937.67,2155056.2801666665,0,0,0,0,9.20914481063756,281.8940128897275,0.0
2022-10-22,44680068.365,2192827.65,1861669.5152083335,0,0,8,0,6.8233269989088825,279.39873269167487,0.0
2022-10-23,44483707.419,2283730.221,1853487.809125,0,0,7,0,6.779592347312341,277.4939277502641,0.0
2022-10-24,57925769.766,2954459.034,2413573.7402500003,0,0,0,0,11.516392689450853,282.75638944871054,0.0
2022-10-25,56794398.496,2897268.914,2366433.270666667,0,0,0,0,11.091254142636394,287.7461313905634,0.0
2022-10-26,54532088.547,2641523.079,2272170.356125,0,0,0,0,10.232713665600537,286.6284917073265,0.0
2022-10-27,55131801.387,2615050.009,2297158.391125,0,0,0,0,10.522583278969954,286.9979848935583,0.0
