TimeUTC,TimeDK,RegionName,ConsumerCategory2,ConsumerCategory3,ConsumptionkWh
2025-12-31T06:00:00,2025-12-31T07:00:00,Region Midtjylland,Erhverv,Erhverv,570783.869
2025-12-31T06:00:00,2025-12-31T07:00:00,Region Midtjylland,Erhverv,Offentlige foretagender,61110.87
2025-12-31T06:00:00,2025-12-31T07:00:00,Region Midtjylland,Privat,Privat,286105.587
2025-12-31T06:00:00,2025-12-31T07:00:00,Region Nordjylland,Erhverv,Erhverv,306636.597
2025-12-31T06:00:00,2025-12-31T07:00:00,Region Nordjylland,Erhverv,Offentlige foretagender,31869.782
2025-12-31T06:00:00,2025-12-31T07:00:00,Region Nordjylland,Privat,Privat,142207.596
2025-12-31T06:00:00,2025-12-31T07:00:00,Region Sjælland,Erhverv,Erhverv,342574.113
2025-12-31T06:00:00,2025-12-31T07:00:00,Region Sjælland,Erhverv,Offentlige foretagender,45520.939
2025-12-31T06:00:00,2025-12-31T07:00:00,Region Sjælland,Privat,Privat,259489.766
2025-12-31T06:00:00,2025-12-31T07:00:00,Region Syddanmark,Erhverv,Erhverv,674052.336
2025-12-31T06:00:00,2025-12-31T07:00:00,Region Syddanmark,Erhverv,Offentlige foretagender,59309.688
2025-12-31T06:00:00,2025-12-31T07:00:00,Region Syddanmark,Privat,Privat,269051.467
2025-12-31T05:00:00,2025-12-31T06:00:00,Region Hovedstaden,Erhverv,Erhverv,563017.181
2025-12-31T05:00:00,2025-12-31T06:00:00,Region Hovedstaden,Erhverv,Offentlige foretagender,96562.651
2025-12-31T05:00:00,2025-12-31T06:00:00,Region Hovedstaden,Privat,Privat,282405.077
2025-12-31T05:00:00,2025-12-31T06:00:00,Region Midtjylland,Erhverv,Erhverv,597920.505
2025-12-31T05:00:00,2025-12-31T06:00:00,Region Midtjylland,Erhverv,Offentlige foretagender,55001.52
2025-12-31T05:00:00,2025-12-31T06:00:00,Region Midtjylland,Privat,Privat,265389.013
2025-12-31T05:00:00,2025-12-31T06:00:00,Region Nordjylland,Erhverv,Erhverv,334475.73
2025-12-31T05:00:00,2025-12-31T06:00:00,Region Nordjylland,Erhverv,Offentlige foretagender,29352.07
